epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85313,1.96674,3.74987,2.03562,0.04353,0.03333,0.02234,0.00821,1.6393,3.17356,2.11537,6e-05,6e-05,6e-05
2,3.05776,1.90722,3.46194,1.89095,0.00658,0.06667,0.01797,0.00649,1.67138,3.1687,2.15047,0.000137228,0.000137228,0.000137228
3,4.53893,1.53636,3.26464,1.80054,0.00744,0.36667,0.00637,0.00188,2.18977,95.3839,1.82759,0.000211288,0.000211288,0.000211288
4,7.22853,1.36191,3.62653,1.62088,0.00749,1,0.00879,0.00472,1.93198,inf,8.72972,0.00028218,0.00028218,0.00028218
5,9.72096,1.37766,1.35919,1.69895,0.06186,1,0.08415,0.02831,nan,nan,nan,0.000349904,0.000349904,0.000349904
6,13.3292,1.27004,1.22546,1.6136,0,0,0,0,nan,nan,nan,0.00041446,0.00041446,0.00041446
7,15.851,0.94387,0.93393,1.42103,0,0,0,0,nan,nan,nan,0.000475848,0.000475848,0.000475848
8,18.3751,1.1664,0.8013,1.59504,0,0,0,0,nan,nan,nan,0.000534068,0.000534068,0.000534068
9,20.8477,1.15829,0.9085,1.59853,0,0,0,0,nan,nan,nan,0.00058912,0.00058912,0.00058912
10,23.535,1.03245,0.78563,1.45545,0,0,0,0,nan,nan,nan,0.000641004,0.000641004,0.000641004
11,26.0376,1.2373,0.95136,1.54222,0,0,0,0,nan,nan,nan,0.00068972,0.00068972,0.00068972
12,28.5646,1.01008,0.69393,1.35841,0,0,0,0,nan,nan,nan,0.000735268,0.000735268,0.000735268
13,31.151,1.17926,0.77475,1.52511,0,0,0,0,nan,nan,nan,0.000777648,0.000777648,0.000777648
14,33.6672,0.98451,0.67297,1.38338,0,0,0,0,nan,nan,nan,0.00081686,0.00081686,0.00081686
15,36.1621,0.92179,0.66105,1.34299,0.00106,0.26667,0.00064,0.00034,3.424,inf,9.47685,0.000852904,0.000852904,0.000852904
16,38.5852,0.94064,0.58806,1.38005,0.00103,0.03333,0.00029,0.00015,4.61741,497.117,7.4236,0.00088578,0.00088578,0.00088578
17,41.2839,0.97588,0.65704,1.37506,0.15172,0.73333,0.18069,0.09872,1.68455,29.3816,6.58811,0.000915488,0.000915488,0.000915488
18,44.7476,1.05071,0.61624,1.39784,0.09362,0.73333,0.22437,0.12725,1.39499,50.12,2.98117,0.000942028,0.000942028,0.000942028
19,48.2612,1.18244,0.65886,1.54912,0.02785,0.7,0.02405,0.01492,1.31935,165.79,2.99831,0.0009654,0.0009654,0.0009654
20,50.6743,1.04274,0.62413,1.3985,0.12879,0.56667,0.10533,0.06553,1.38064,67.3629,2.51451,0.000985604,0.000985604,0.000985604
21,53.1463,1.03147,0.63965,1.39935,0.00807,0.43333,0.00793,0.00531,1.39132,inf,13.5492,0.00100264,0.00100264,0.00100264
22,55.5937,0.86415,0.63644,1.37302,0.00369,0.36667,0.00256,0.00144,2.12535,inf,45.1885,0.00101651,0.00101651,0.00101651
23,58.202,0.89852,0.58009,1.31096,0.01006,0.56667,0.0078,0.00308,2.03316,492.898,14.763,0.00102721,0.00102721,0.00102721
24,60.6038,1.05594,0.62479,1.34132,0.13909,0.8,0.14438,0.07518,1.48892,16.0754,3.26876,0.00103474,0.00103474,0.00103474
25,63.0489,0.9419,0.66469,1.31959,0.1619,0.76667,0.1849,0.10837,1.65732,13.4183,3.48429,0.0010391,0.0010391,0.0010391
26,65.4754,0.94476,0.62517,1.35537,0.01738,0.53333,0.01903,0.0041,3.29426,146.313,22.3278,0.00101,0.00101,0.00101
27,67.8973,1.20438,0.65966,1.55133,0.06418,0.4,0.03962,0.00921,3.20946,17.5207,8.08102,0.0009704,0.0009704,0.0009704
28,70.5279,1.11728,0.6232,1.41494,0.1557,0.23333,0.06079,0.01764,3.92854,6.68342,8.90744,0.0009308,0.0009308,0.0009308
29,72.9646,0.95732,0.56812,1.33191,0.92495,0.26667,0.26799,0.16165,2.72879,3.88315,3.7667,0.0008912,0.0008912,0.0008912
30,76.4358,1.09371,0.55787,1.43195,0.95912,0.66667,0.72835,0.49373,1.5494,1.84253,1.99789,0.0008516,0.0008516,0.0008516
31,79.8861,1.0442,0.59712,1.39987,1,0.99849,0.995,0.6938,1.11041,1.05754,1.58926,0.000812,0.000812,0.000812
32,83.3809,0.88737,0.60257,1.32951,0.92786,0.85774,0.94708,0.61818,1.20492,1.36167,1.5616,0.0007724,0.0007724,0.0007724
33,85.8087,0.98016,0.59819,1.35316,0.96347,0.76667,0.79746,0.48429,1.51801,1.20667,1.83535,0.0007328,0.0007328,0.0007328
34,88.396,0.88073,0.51767,1.32706,0.85416,0.4,0.46286,0.27407,2.04398,4.11177,2.41595,0.0006932,0.0006932,0.0006932
35,90.8524,0.81873,0.50156,1.23563,1,0.23069,0.26988,0.15938,2.5948,4.24677,2.53587,0.0006536,0.0006536,0.0006536
36,93.2794,0.81307,0.46805,1.28977,0.00888,0.1,0.00489,0.00212,3.53479,6.49058,3.10384,0.000614,0.000614,0.000614
37,95.6819,0.84878,0.48325,1.24095,0,0,0,0,4.16927,6.00794,3.42721,0.0005744,0.0005744,0.0005744
38,98.1065,0.82649,0.47945,1.20819,0.00401,0.6,0.00325,0.00065,3.42716,10.4954,3.052,0.0005348,0.0005348,0.0005348
39,100.524,0.80254,0.5558,1.26444,0,0,0,0,4.31509,5.72896,3.4965,0.0004952,0.0004952,0.0004952
40,103.141,0.77565,0.49309,1.1981,0.5633,0.16667,0.17598,0.07448,3.85491,4.09479,3.38867,0.0004556,0.0004556,0.0004556
41,106.094,0.84211,0.41167,1.32515,0.55985,0.2,0.21916,0.13177,4.17282,3.98042,3.84662,0.000416,0.000416,0.000416
42,108.576,0.85072,0.42848,1.25806,0.95748,0.06667,0.0694,0.06246,5.13934,5.21427,5.26363,0.0003764,0.0003764,0.0003764
43,111.031,0.89315,0.41534,1.25037,0.97617,0.06667,0.06934,0.06438,3.87405,5.17883,3.81564,0.0003368,0.0003368,0.0003368
44,113.475,0.8315,0.42544,1.37062,0.95217,0.2,0.21613,0.14152,3.39249,4.42192,3.33731,0.0002972,0.0002972,0.0002972
45,115.919,0.83357,0.42612,1.25796,0.98693,0.3,0.346,0.22202,2.79302,2.7693,2.80361,0.0002576,0.0002576,0.0002576
46,118.606,0.83573,0.41425,1.38154,1,0.73321,0.80986,0.51767,1.4747,0.86461,1.73058,0.000218,0.000218,0.000218
47,121.048,0.81017,0.40031,1.24545,0.99812,1,0.995,0.69348,1.11674,0.42445,1.53477,0.0001784,0.0001784,0.0001784
48,123.459,0.73061,0.3647,1.2077,0.99808,1,0.995,0.70266,1.11609,0.40669,1.52515,0.0001388,0.0001388,0.0001388
49,126.962,0.61396,0.37458,1.22175,0.99803,1,0.995,0.69655,1.11223,0.42174,1.52651,9.92e-05,9.92e-05,9.92e-05
50,129.379,0.78071,0.36872,1.21955,0.99803,1,0.995,0.69097,1.10856,0.42133,1.52395,5.96e-05,5.96e-05,5.96e-05
