epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,120.429,0.90766,0.47987,1.38651,0.07471,0.8,0.06999,0.04353,1.46125,19.8659,1.8687,0.0015446,0.0015446,0.0015446
48,122.913,1.04448,0.54626,1.32612,0.99142,1,0.995,0.63704,1.13943,0.78789,1.71841,0.0015347,0.0015347,0.0015347
49,126.454,0.94134,0.4907,1.27746,0.99523,1,0.995,0.64163,1.16998,0.71604,1.65547,0.0015248,0.0015248,0.0015248
50,130.015,0.95445,0.52202,1.26304,1,0.99424,0.995,0.66634,1.14179,1.07202,1.62799,0.0015149,0.0015149,0.0015149
51,133.588,0.89714,0.50357,1.29515,1,0.79774,0.8843,0.51267,1.3558,1.82086,1.80797,0.001505,0.001505,0.001505
52,136.235,0.94549,0.52928,1.31734,0.98001,0.73333,0.78819,0.54704,1.18936,1.99449,1.63238,0.0014951,0.0014951,0.0014951
53,138.676,0.96076,0.60163,1.32938,1,0.73219,0.77073,0.55456,1.17375,1.44187,1.63474,0.0014852,0.0014852,0.0014852
54,141.152,0.87358,0.50898,1.21988,1,0.85815,0.89714,0.6045,1.19748,0.87708,1.58428,0.0014753,0.0014753,0.0014753
55,143.584,0.82353,0.5011,1.18275,0.99684,0.8,0.79643,0.51014,1.20456,1.97014,1.73274,0.0014654,0.0014654,0.0014654
56,145.982,0.91418,0.497,1.29204,0.90728,0.65275,0.71213,0.42322,1.54565,3.15332,1.8962,0.0014555,0.0014555,0.0014555
57,148.386,0.93325,0.57242,1.29449,0.99063,0.53333,0.53636,0.37446,2.0276,2.78447,2.45769,0.0014456,0.0014456,0.0014456
58,150.947,0.92577,0.50069,1.27786,0.99761,0.76667,0.76576,0.53628,1.39879,3.25743,1.80547,0.0014357,0.0014357,0.0014357
59,153.332,0.88869,0.50648,1.27467,1,0.76264,0.78988,0.53046,1.27608,3.49037,1.71973,0.0014258,0.0014258,0.0014258
60,155.77,0.9911,0.52019,1.26031,0.02045,0.2,0.00917,0.00478,2.33456,15.2026,2.29719,0.0014159,0.0014159,0.0014159
61,158.215,0.94534,0.52581,1.31695,0.9943,0.93333,0.93514,0.6185,1.23793,3.98588,1.6078,0.001406,0.001406,0.001406
62,160.636,0.92815,0.51233,1.21422,0.99695,0.93333,0.96366,0.63978,1.16597,0.52213,1.6259,0.0013961,0.0013961,0.0013961
63,163.04,0.93454,0.50878,1.23209,0.99676,0.9,0.94438,0.64815,1.17119,0.58677,1.54863,0.0013862,0.0013862,0.0013862
64,165.579,1.00127,0.52984,1.28712,0.99786,1,0.995,0.65544,1.13677,0.47612,1.62939,0.0013763,0.0013763,0.0013763
65,167.971,0.85422,0.49166,1.21943,0.98757,0.93333,0.98708,0.62508,1.18159,0.64984,1.66346,0.0013664,0.0013664,0.0013664
66,170.42,0.98558,0.53176,1.31793,1,0.76099,0.81511,0.54124,1.26667,0.86276,1.67808,0.0013565,0.0013565,0.0013565
67,172.85,0.83795,0.42693,1.22344,0.99643,0.96667,0.96772,0.62142,1.2329,0.51951,1.76743,0.0013466,0.0013466,0.0013466
68,175.254,0.80953,0.48155,1.16786,0.98291,0.96667,0.97438,0.64973,1.15921,0.51912,1.61757,0.0013367,0.0013367,0.0013367
69,177.673,0.93517,0.53711,1.26315,0.98333,0.96667,0.97611,0.659,1.08004,0.48923,1.54638,0.0013268,0.0013268,0.0013268
70,180.259,1.00435,0.51998,1.38738,0.98864,0.96667,0.96707,0.64087,1.08706,0.53138,1.64576,0.0013169,0.0013169,0.0013169
71,182.63,0.83779,0.45571,1.19557,0.99402,0.96667,0.96695,0.66136,1.07027,0.52051,1.51608,0.001307,0.001307,0.001307
72,185.043,0.80412,0.47725,1.21662,0.98123,0.76667,0.81108,0.54973,1.27124,0.9187,1.60846,0.0012971,0.0012971,0.0012971
73,187.458,0.89988,0.45925,1.23596,0.82839,0.7,0.74618,0.41785,1.66314,1.23691,1.80751,0.0012872,0.0012872,0.0012872
74,189.826,0.74354,0.42572,1.23145,0.99274,0.96667,0.96779,0.62343,1.20158,0.57206,1.58198,0.0012773,0.0012773,0.0012773
75,192.207,0.79538,0.48844,1.17766,0.9338,0.96667,0.96785,0.63305,1.21937,0.7023,1.57457,0.0012674,0.0012674,0.0012674
76,194.76,0.89375,0.52254,1.31362,0.93064,0.9,0.90077,0.61737,1.15315,0.78333,1.51813,0.0012575,0.0012575,0.0012575
77,197.202,0.7777,0.49222,1.16776,0.94101,0.96667,0.96773,0.66653,1.11417,0.65279,1.48514,0.0012476,0.0012476,0.0012476
78,199.656,0.92257,0.47626,1.2745,0.96653,1,0.995,0.65556,1.09712,0.50265,1.55364,0.0012377,0.0012377,0.0012377
79,202.094,0.80808,0.43726,1.26289,0.99363,1,0.995,0.68386,1.12534,0.44103,1.61096,0.0012278,0.0012278,0.0012278
80,205.647,0.75353,0.42357,1.19865,0.99671,1,0.995,0.71063,1.04248,0.43482,1.56285,0.0012179,0.0012179,0.0012179
81,209.148,0.99317,0.49834,1.29734,0.98744,1,0.995,0.69383,1.08831,0.43842,1.59251,0.001208,0.001208,0.001208
82,211.719,0.77598,0.40918,1.21064,0.99002,1,0.995,0.66754,1.13689,0.50051,1.60669,0.0011981,0.0011981,0.0011981
83,214.112,0.75675,0.42109,1.16521,0.99769,1,0.995,0.64227,1.18835,0.45911,1.64062,0.0011882,0.0011882,0.0011882
84,216.568,0.99535,0.53706,1.31332,0.99763,1,0.995,0.66853,1.17224,0.46136,1.59605,0.0011783,0.0011783,0.0011783
85,219.027,0.91294,0.4861,1.21863,0.99579,1,0.995,0.65795,1.15014,0.5177,1.59542,0.0011684,0.0011684,0.0011684
86,221.474,0.82416,0.44311,1.21127,0.99713,1,0.995,0.68429,1.04023,0.52372,1.52761,0.0011585,0.0011585,0.0011585
87,223.954,0.76363,0.4315,1.20224,0.99725,0.96667,0.98337,0.66126,1.05155,0.45685,1.56627,0.0011486,0.0011486,0.0011486
88,226.588,0.82218,0.42219,1.24359,0.99845,1,0.995,0.66375,1.07795,0.47276,1.60489,0.0011387,0.0011387,0.0011387
89,229.054,0.83922,0.43444,1.1908,0.99764,1,0.995,0.66754,1.1097,0.43913,1.55036,0.0011288,0.0011288,0.0011288
90,231.512,0.8977,0.42801,1.23359,0.99795,1,0.995,0.68983,1.10235,0.4089,1.57047,0.0011189,0.0011189,0.0011189
