epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,99.8836,0.74117,0.5281,0.9446,0.77274,0.63066,0.65055,0.43771,1.15682,1.41324,1.32326,0.000421852,0.000421852,0.000421852
42,102.068,0.74056,0.55182,0.93035,0.78441,0.61615,0.65397,0.43358,1.17481,1.08405,1.29418,0.000419248,0.000419248,0.000419248
43,104.263,0.71052,0.53618,0.94341,0.80406,0.5507,0.64425,0.40055,1.21567,1.0723,1.3134,0.000416645,0.000416645,0.000416645
44,106.478,0.74535,0.5336,0.91115,0.82246,0.56995,0.66185,0.4153,1.30136,1.03412,1.43985,0.000414041,0.000414041,0.000414041
45,108.698,0.69705,0.58483,0.94468,0.70357,0.58272,0.64383,0.43177,1.24686,0.95706,1.35883,0.000411437,0.000411437,0.000411437
46,110.97,0.77583,0.57707,0.98235,0.86767,0.54936,0.65049,0.44077,1.24584,0.92888,1.32206,0.000408834,0.000408834,0.000408834
47,113.399,0.72642,0.55538,0.96041,0.83283,0.59781,0.677,0.42074,1.25822,0.87449,1.31733,0.00040623,0.00040623,0.00040623
48,115.599,0.67848,0.50167,0.90463,0.8584,0.61618,0.68662,0.41319,1.24418,0.80899,1.32071,0.000403626,0.000403626,0.000403626
49,117.815,0.69934,0.50213,0.94506,0.90024,0.6026,0.74719,0.45629,1.2266,0.86688,1.32113,0.000401022,0.000401022,0.000401022
50,120.706,0.6489,0.50914,0.95417,0.86336,0.61964,0.74605,0.49481,1.18363,0.98577,1.27836,0.000398419,0.000398419,0.000398419
51,123.601,0.65762,0.46247,0.91514,0.76545,0.71104,0.74748,0.45253,1.17886,0.80139,1.31992,0.000395815,0.000395815,0.000395815
