epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33788,1.88249,3.33702,2.04894,0.64236,0.36667,0.41975,0.13643,1.96466,3.13836,1.54389,6e-05,6e-05,6e-05
2,2.99829,1.81625,3.44301,1.88041,0.43055,0.33333,0.37768,0.10075,1.99934,3.21695,1.59038,0.000137228,0.000137228,0.000137228
3,3.69351,1.62276,2.73183,1.6751,0.47063,0.7,0.50613,0.24508,1.7755,4.09523,1.3422,0.000211288,0.000211288,0.000211288
4,4.85309,1.20981,1.0307,1.47941,0.95848,0.96667,0.96312,0.54594,1.45758,1.15617,1.24947,0.00028218,0.00028218,0.00028218
5,5.90466,1.05474,0.83155,1.24228,0.96651,0.96222,0.98971,0.54507,1.52939,1.24378,1.27216,0.000349904,0.000349904,0.000349904
6,6.99844,1.16335,0.88768,1.31841,1,0.93333,0.995,0.57762,1.41481,4.18805,1.28395,0.00041446,0.00041446,0.00041446
7,8.1202,0.91529,0.82088,1.15043,1,1,0.995,0.62271,1.2532,5.52817,1.374,0.000475848,0.000475848,0.000475848
8,9.19745,1.06152,0.76543,1.16606,0.89488,1,0.99403,0.55978,1.49495,4.38366,1.59326,0.000534068,0.000534068,0.000534068
9,10.1149,1.13439,0.72513,1.24082,0.21138,0.86667,0.28023,0.14926,1.36268,18.3435,1.39701,0.00058912,0.00058912,0.00058912
10,11.0024,0.84379,0.60939,1.1362,0.84211,0.53333,0.74678,0.35191,1.43602,6.55908,1.5312,0.000641004,0.000641004,0.000641004
11,11.8853,1.19223,0.74649,1.2656,0.38182,0.96667,0.45903,0.23927,1.42393,5.58869,1.64492,0.00068972,0.00068972,0.00068972
12,12.8325,0.91499,0.54059,1.11265,0.55135,0.6,0.65778,0.24381,2.0436,4.72278,3.03235,0.000735268,0.000735268,0.000735268
13,13.7168,0.89336,0.59818,1.1552,0.75227,1,0.91643,0.5026,1.53854,2.085,1.81917,0.000777648,0.000777648,0.000777648
14,14.6089,0.816,0.48325,1.12808,0.60995,0.93333,0.69091,0.39175,1.27742,2.85247,1.94714,0.00081686,0.00081686,0.00081686
15,15.5072,0.82867,0.48461,1.17641,0.88894,0.73333,0.76099,0.41632,1.49057,2.05909,2.02528,0.000852904,0.000852904,0.000852904
16,16.3935,0.80471,0.47628,1.13012,0.15699,0.46667,0.10706,0.05643,2.30443,16.8328,2.64854,0.00088578,0.00088578,0.00088578
17,17.243,0.82994,0.51807,1.15202,0.45738,0.33333,0.25642,0.15283,2.12873,9.96181,2.57137,0.000915488,0.000915488,0.000915488
18,18.144,0.93195,0.51008,1.12408,0.27501,0.33333,0.17272,0.09021,2.24388,7.1213,2.5912,0.000942028,0.000942028,0.000942028
19,19.0129,0.92509,0.51262,1.30364,0.02151,0.16667,0.01415,0.00684,1.91055,18.8301,2.31675,0.0009654,0.0009654,0.0009654
20,19.8898,0.86402,0.45387,1.13543,0.0254,0.46667,0.02141,0.01052,2.02061,13.1768,2.43544,0.000985604,0.000985604,0.000985604
21,20.7703,0.94937,0.5221,1.14041,0.06745,0.5,0.03985,0.01126,2.65601,16.8938,3.10649,0.00100264,0.00100264,0.00100264
22,21.6311,0.77281,0.53342,1.15089,0.79601,0.53333,0.55434,0.24768,2.42574,6.11953,2.84944,0.00101651,0.00101651,0.00101651
23,22.4952,0.88071,0.46722,1.14668,0.88166,0.63333,0.66338,0.42257,1.76005,3.00046,2.07359,0.00102721,0.00102721,0.00102721
24,23.3915,0.87839,0.45691,1.10899,0.97944,0.7,0.75563,0.4255,1.72639,1.52192,2.45525,0.00103474,0.00103474,0.00103474
25,24.2386,0.87367,0.50648,1.15365,1,0.72403,0.75835,0.46193,1.61127,1.37,2.09054,0.0010391,0.0010391,0.0010391
26,25.0631,0.86637,0.45076,1.17685,0.9921,0.73333,0.74894,0.3461,1.7415,2.16376,2.28246,0.00101,0.00101,0.00101
27,25.9197,1.08086,0.56845,1.32935,0.98844,0.7,0.77065,0.39082,1.57588,1.68262,2.03548,0.0009704,0.0009704,0.0009704
28,26.7576,1.04384,0.5307,1.23409,0.9777,0.93333,0.97208,0.63604,1.18208,0.74478,1.71499,0.0009308,0.0009308,0.0009308
29,27.8267,0.92227,0.45967,1.2331,1,0.96141,0.97975,0.63978,1.14975,0.61223,1.67161,0.0008912,0.0008912,0.0008912
30,28.9314,0.94079,0.45766,1.21638,0.99285,0.96667,0.99071,0.59895,1.26152,0.61379,1.78047,0.0008516,0.0008516,0.0008516
31,29.8026,0.97162,0.54291,1.23423,1,0.8972,0.97404,0.647,1.12704,0.59179,1.57234,0.000812,0.000812,0.000812
32,30.8847,0.86646,0.45941,1.18116,0.97779,0.9,0.96115,0.61769,1.13079,0.63779,1.55776,0.0007724,0.0007724,0.0007724
33,31.7239,0.76959,0.45542,1.10179,1,0.93164,0.98414,0.61146,1.15779,0.54178,1.60839,0.0007328,0.0007328,0.0007328
34,32.6081,0.85711,0.43543,1.19291,1,0.96293,0.99227,0.6517,1.10616,0.50976,1.55095,0.0006932,0.0006932,0.0006932
35,33.6546,0.68502,0.38092,1.08248,1,0.95877,0.98265,0.65708,1.12566,0.55752,1.53017,0.0006536,0.0006536,0.0006536
36,34.7061,0.78429,0.39833,1.19845,1,0.99512,0.995,0.699,1.07251,0.47217,1.49749,0.000614,0.000614,0.000614
37,35.7853,0.737,0.38283,1.10835,0.99522,1,0.995,0.69965,1.09843,0.4546,1.493,0.0005744,0.0005744,0.0005744
38,36.9011,0.76229,0.38568,1.0483,0.99657,1,0.995,0.69383,1.05222,0.42451,1.44544,0.0005348,0.0005348,0.0005348
39,37.8198,0.65595,0.43262,1.09118,0.99513,1,0.995,0.69826,1.08131,0.43017,1.47331,0.0004952,0.0004952,0.0004952
40,38.7654,0.7112,0.35632,1.03047,0.991,1,0.995,0.67376,1.13328,0.47054,1.54636,0.0004556,0.0004556,0.0004556
41,40.2023,0.76899,0.40991,1.21495,0.98836,1,0.995,0.69078,1.15466,0.44046,1.57947,0.000416,0.000416,0.000416
42,41.1481,0.79869,0.38504,1.10273,0.98882,1,0.995,0.66504,1.18331,0.45676,1.58408,0.0003764,0.0003764,0.0003764
43,42.0087,0.78238,0.37579,1.1561,0.9919,1,0.995,0.70015,1.09032,0.42009,1.5077,0.0003368,0.0003368,0.0003368
44,43.0731,0.77272,0.41194,1.25231,0.9901,1,0.995,0.70052,1.10834,0.41346,1.54758,0.0002972,0.0002972,0.0002972
45,44.1472,0.73481,0.38109,1.11475,0.98543,1,0.995,0.68429,1.12304,0.43258,1.57148,0.0002576,0.0002576,0.0002576
46,45.0468,0.74529,0.37762,1.2477,0.99288,1,0.995,0.66986,1.15206,0.4463,1.59973,0.000218,0.000218,0.000218
47,45.9006,0.65018,0.3482,1.06491,0.99402,1,0.995,0.67377,1.13517,0.4263,1.58321,0.0001784,0.0001784,0.0001784
48,46.7705,0.61303,0.29741,1.08198,0.99508,1,0.995,0.69519,1.12916,0.42327,1.58007,0.0001388,0.0001388,0.0001388
49,47.6203,0.62861,0.33547,1.11101,0.99627,1,0.995,0.69912,1.13167,0.41304,1.58892,9.92e-05,9.92e-05,9.92e-05
50,48.4672,0.66882,0.3221,1.10752,0.99675,1,0.995,0.69024,1.11839,0.40841,1.5797,5.96e-05,5.96e-05,5.96e-05
